Row,Column,Text,Entity,Label
6,CORRECTION_VERBATIM,"ACCESSED, REMOVED AND REPLACEDD THE DRIVERS ASSISTANCE SYSTEMS MODULE. ACCESSED THE DIAGNOSTICPORTANDREPROGRAMMEDTHESYSTEMCALIBRATION USING THE MDI-2 WITH A WARRANTY CLAIM PROGRAMMING CODE OF FDYZ197418154. ROAD TESTEDTHEVEHICLETOVERIFYREPAIRED. THESYSTEM IS NOW OPERATING AS DESIGNED.",REMOVED,FIXED CONDITION 1
6,CORRECTION_VERBATIM,"ACCESSED, REMOVED AND REPLACEDD THE DRIVERS ASSISTANCE SYSTEMS MODULE. ACCESSED THE DIAGNOSTICPORTANDREPROGRAMMEDTHESYSTEMCALIBRATION USING THE MDI-2 WITH A WARRANTY CLAIM PROGRAMMING CODE OF FDYZ197418154. ROAD TESTEDTHEVEHICLETOVERIFYREPAIRED. THESYSTEM IS NOW OPERATING AS DESIGNED.",REPLACED,FIXED CONDITION 2
6,CORRECTION_VERBATIM,"ACCESSED, REMOVED AND REPLACEDD THE DRIVERS ASSISTANCE SYSTEMS MODULE. ACCESSED THE DIAGNOSTICPORTANDREPROGRAMMEDTHESYSTEMCALIBRATION USING THE MDI-2 WITH A WARRANTY CLAIM PROGRAMMING CODE OF FDYZ197418154. ROAD TESTEDTHEVEHICLETOVERIFYREPAIRED. THESYSTEM IS NOW OPERATING AS DESIGNED.",DRIVERS ASSISTANCE SYSTEMS MODULE,FIXED COMPONENT 1
6,CORRECTION_VERBATIM,"ACCESSED, REMOVED AND REPLACEDD THE DRIVERS ASSISTANCE SYSTEMS MODULE. ACCESSED THE DIAGNOSTICPORTANDREPROGRAMMEDTHESYSTEMCALIBRATION USING THE MDI-2 WITH A WARRANTY CLAIM PROGRAMMING CODE OF FDYZ197418154. ROAD TESTEDTHEVEHICLETOVERIFYREPAIRED. THESYSTEM IS NOW OPERATING AS DESIGNED.",MDI-2,FIXED COMPONENT 3
6,CUSTOMER_VERBATIM,CUST. STATES DRIVERS ASSIST LIGHT COMES ON DASH -SUPER CRUISE/LANE DEPARTURE WORKS INTERMITTENTLY-WAS DIAG. FORASTEERINGWHEELMODULE.,INTERMITTENTLY,FAILURE  CONDITION 1
7,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL,REPLACED,FIXED CONDITION 1
7,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL,STEERING WHEEL,FIXED COMPONENT 1
7,CUSTOMER_VERBATIM,SPECIAL ORDER PART [ STEERING WHEEL HEATED STEERING WHEEL NOT WORKING ],STEERING WHEEL,FAILURE  CONDITION 1
9,CORRECTION_VERBATIM,STEERING WHEEL REPLACEDMENT,STEERING WHEEL,FIXED COMPONENT 1
11,CORRECTION_VERBATIM,TECH REPLACEDD STEERING WHEEL TO CORRECT PRA 487188600000,STEERING WHEEL,FIXED COMPONENT 1
11,CUSTOMER_VERBATIM,C/S: CUSTOMER STATES THERE IS A PIECE OF THE STEERING WHEEL STICKING UP. SOP PART IS IN,STEERING WHEEL,FAILURE COMPONENT 1
11,CUSTOMER_VERBATIM,C/S: CUSTOMER STATES THERE IS A PIECE OF THE STEERING WHEEL STICKING UP. SOP PART IS IN,STICKING UP,FAILURE  CONDITION 1
13,CORRECTION_VERBATIM,REPLACEDD HEATED STEERING WHEEL,REPLACED,FIXED CONDITION 1
13,CORRECTION_VERBATIM,REPLACEDD HEATED STEERING WHEEL,STEERING WHEEL,FIXED COMPONENT 1
13,CUSTOMER_VERBATIM,CUSTOMER STATES HEATED STEERING WHEEL ISNT WORKING,HEATED,FAILURE  CONDITION 1
13,CUSTOMER_VERBATIM,CUSTOMER STATES HEATED STEERING WHEEL ISNT WORKING,STEERING WHEEL,FAILURE  CONDITION 1
14,CORRECTION_VERBATIM,CHECKED AND VERIFIED CUSTOMER CONCERN AND FOUND TRIM PIECE LOOSE REMOV ED REPLACEDD TRIM PIECE ON THE BACK OF THE PASSENGER SIDE OFSTEERING W HEEL COMPLETE,CHECKED,FIXED CONDITION 1
14,CORRECTION_VERBATIM,CHECKED AND VERIFIED CUSTOMER CONCERN AND FOUND TRIM PIECE LOOSE REMOV ED REPLACEDD TRIM PIECE ON THE BACK OF THE PASSENGER SIDE OFSTEERING W HEEL COMPLETE,TRIM,FIXED COMPONENT 1
14,CORRECTION_VERBATIM,CHECKED AND VERIFIED CUSTOMER CONCERN AND FOUND TRIM PIECE LOOSE REMOV ED REPLACEDD TRIM PIECE ON THE BACK OF THE PASSENGER SIDE OFSTEERING W HEEL COMPLETE,REPLACED,FIXED CONDITION 2
14,CUSTOMER_VERBATIM,CUSTOMER STATES STEERING WHEEL CONROL PASSENGER SIDE REAR ON THE STEER ING WHEEL IS LOOSE SOP PART,STEERING WHEEL,FAILURE COMPONENT 1
14,CUSTOMER_VERBATIM,CUSTOMER STATES STEERING WHEEL CONROL PASSENGER SIDE REAR ON THE STEER ING WHEEL IS LOOSE SOP PART,LOOSE,FAILURE  CONDITION 1
18,CORRECTION_VERBATIM,INSTALLED SPECIAL ORDERED STEERING WHEEL DUE TO THREADS FRAYING ON WHE EL 0130 .4 629,INSTALLED,FIXED CONDITION 1
18,CORRECTION_VERBATIM,INSTALLED SPECIAL ORDERED STEERING WHEEL DUE TO THREADS FRAYING ON WHE EL 0130 .4 629,STEERING WHEEL,FIXED COMPONENT 1
18,CUSTOMER_VERBATIM,STEERING WHEEL FRAYING PARTS ARE IN,STEERING WHEEL,FAILURE COMPONENT 1
20,CORRECTION_VERBATIM,"PRA APPROVED, PRA #495794600000 FOUND THE STEERING WHEEL TO BE COMING APART. REPLACEDD THE STEERING WHEEL. VERIFIED REPAIRED.",REPLACED,FIXED CONDITION 1
20,CORRECTION_VERBATIM,"PRA APPROVED, PRA #495794600000 FOUND THE STEERING WHEEL TO BE COMING APART. REPLACEDD THE STEERING WHEEL. VERIFIED REPAIRED.",STEERING WHEEL,FIXED COMPONENT 1
20,CORRECTION_VERBATIM,"PRA APPROVED, PRA #495794600000 FOUND THE STEERING WHEEL TO BE COMING APART. REPLACEDD THE STEERING WHEEL. VERIFIED REPAIRED.",REPAIRED,FIXED CONDITION 2
20,CUSTOMER_VERBATIM,CUSTOMER STATES STITCHING ON STEERING WHEEL IS COMING UNDONE ON THE RI GHT SIDE,STITCHING,FAILURE  CONDITION 1
20,CUSTOMER_VERBATIM,CUSTOMER STATES STITCHING ON STEERING WHEEL IS COMING UNDONE ON THE RI GHT SIDE,STEERING WHEEL,FAILURE COMPONENT 1
21,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL TRIM RING,REPLACED,FIXED CONDITION 1
21,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL TRIM RING,STEERING WHEEL,FIXED COMPONENT 1
21,CUSTOMER_VERBATIM,CUSTOMER STATES CHROME TRIM ON STEERING WHEEL IS CRACKED,STEERING WHEEL,FAILURE COMPONENT 1
21,CUSTOMER_VERBATIM,CUSTOMER STATES CHROME TRIM ON STEERING WHEEL IS CRACKED,CRACKED,FAILURE  CONDITION 1
23,CORRECTION_VERBATIM,"STEERING WHEEL SPOKE COVER, PER GOODWILL ASSISTANCE, CUSTOMER HAS A DEDUCTIBLE OF $86.45",STEERING WHEEL,FIXED COMPONENT 1
23,CORRECTION_VERBATIM,"STEERING WHEEL SPOKE COVER, PER GOODWILL ASSISTANCE, CUSTOMER HAS A DEDUCTIBLE OF $86.45",ASSISTANCE,FIXED CONDITION 1
23,CUSTOMER_VERBATIM,CUSTOMER STATES THE STEERING WHEEL BEZEL IS PEELING.,WHEEL BEZEL,FAILURE COMPONENT 1
23,CUSTOMER_VERBATIM,CUSTOMER STATES THE STEERING WHEEL BEZEL IS PEELING.,PEELING,FAILURE  CONDITION 1
24,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL NO FURTHER ACTION REQUIRED.,REPLACED,FIXED CONDITION 1
24,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL NO FURTHER ACTION REQUIRED.,STEERING WHEEL,FIXED COMPONENT 1
24,CUSTOMER_VERBATIM,CUSTOMER STATES STEERING WHEELS STICHING COMING APART,STEERING WHEELS,FAILURE COMPONENT 1
24,CUSTOMER_VERBATIM,CUSTOMER STATES STEERING WHEELS STICHING COMING APART,COMING APART,FAILURE  CONDITION 1
25,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL,REPLACED,FIXED CONDITION 1
25,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL,STEERING WHEEL,FIXED COMPONENT 1
25,CUSTOMER_VERBATIM,WRAP ON THE STEEERING WHEEL IS PEELING ***NEED PRA DONE BY MANAGEMENT****,STEEERING WHEEL,FAILURE COMPONENT 1
25,CUSTOMER_VERBATIM,WRAP ON THE STEEERING WHEEL IS PEELING ***NEED PRA DONE BY MANAGEMENT****,PEELING,FAILURE  CONDITION 1
26,CORRECTION_VERBATIM,REPLACED STEERING WHEEL SWITCH TRIM (SOP PART BEFORE WARRANTY EXPIRATIO N),REPLACED,FIXED CONDITION 1
26,CORRECTION_VERBATIM,REPLACED STEERING WHEEL SWITCH TRIM (SOP PART BEFORE WARRANTY EXPIRATIO N),STEERING WHEEL,FIXED COMPONENT 1
26,CUSTOMER_VERBATIM,C/S CARBON FIBER APPLIQUE ON STEERING WHEEL IS PEELING OFF. SOP IN,STEERING WHEEL,FAILURE COMPONENT 1
26,CUSTOMER_VERBATIM,C/S CARBON FIBER APPLIQUE ON STEERING WHEEL IS PEELING OFF. SOP IN,PEELING,FAILURE  CONDITION 1
27,CORRECTION_VERBATIM,"TECH WAS ABLE TO VERIFY CUSTOMERS CONCERN OF HEATED STEERING WHEEL INOP. TECH CHECKED CONNECTION TO THESTEERINGWHEELANDFOUNDHEATING STEERING WHEEL HAS INTERNAL MALFUNCTION AT HARNESS(BROKEN), ORDERED/INSTALLED NEW STERRING WHEEL, OAD",STEERING WHEEL,FAILURE COMPONENT 1
27,CORRECTION_VERBATIM,"TECH WAS ABLE TO VERIFY CUSTOMERS CONCERN OF HEATED STEERING WHEEL INOP. TECH CHECKED CONNECTION TO THESTEERINGWHEELANDFOUNDHEATING STEERING WHEEL HAS INTERNAL MALFUNCTION AT HARNESS(BROKEN), ORDERED/INSTALLED NEW STERRING WHEEL, OAD",INSTALLED,FIXED CONDITION 1
27,CORRECTION_VERBATIM,"TECH WAS ABLE TO VERIFY CUSTOMERS CONCERN OF HEATED STEERING WHEEL INOP. TECH CHECKED CONNECTION TO THESTEERINGWHEELANDFOUNDHEATING STEERING WHEEL HAS INTERNAL MALFUNCTION AT HARNESS(BROKEN), ORDERED/INSTALLED NEW STERRING WHEEL, OAD",STERRING WHEEL,FIXED COMPONENT 1
27,CUSTOMER_VERBATIM,CUST STS THE HEATED STEERING WHEEL WILL TURN ON AT TIMES AND THE TURN OFF ON ITS OWN AND NOT WORK. MOST OF THE TIMETHEWHEELWILLNOTTURN ON AND WORK,HEATED,FAILURE  CONDITION 1
27,CUSTOMER_VERBATIM,CUST STS THE HEATED STEERING WHEEL WILL TURN ON AT TIMES AND THE TURN OFF ON ITS OWN AND NOT WORK. MOST OF THE TIMETHEWHEELWILLNOTTURN ON AND WORK,STEERING WHEEL,FAILURE COMPONENT 1
28,CORRECTION_VERBATIM,0130 LABOR 0.4 -REMOVED AND REPLACEDD STEERING WHEEL WITH CORRECT UNIT. VERIFIED OPERATION.,REPLACED,FIXED CONDITION 1
28,CORRECTION_VERBATIM,0130 LABOR 0.4 -REMOVED AND REPLACEDD STEERING WHEEL WITH CORRECT UNIT. VERIFIED OPERATION.,STEERING WHEEL,FIXED COMPONENT 1
31,CORRECTION_VERBATIM,"INSPECTED STEERING WHEEL, FOUND LEATHER PEELING AT BOTTOM OFSTEERING WHEEL DUE TO FAILED ADHESIVE, REPLACEDD STEERING WHEEL",INSPECTED,FAILURE  CONDITION 1
31,CORRECTION_VERBATIM,"INSPECTED STEERING WHEEL, FOUND LEATHER PEELING AT BOTTOM OFSTEERING WHEEL DUE TO FAILED ADHESIVE, REPLACEDD STEERING WHEEL",STEERING WHEEL,FAILURE COMPONENT 1
31,CORRECTION_VERBATIM,"INSPECTED STEERING WHEEL, FOUND LEATHER PEELING AT BOTTOM OFSTEERING WHEEL DUE TO FAILED ADHESIVE, REPLACEDD STEERING WHEEL",LEATHER,FAILURE COMPONENT 1
31,CORRECTION_VERBATIM,"INSPECTED STEERING WHEEL, FOUND LEATHER PEELING AT BOTTOM OFSTEERING WHEEL DUE TO FAILED ADHESIVE, REPLACEDD STEERING WHEEL",REPLACED,FIXED CONDITION 1
31,CORRECTION_VERBATIM,"INSPECTED STEERING WHEEL, FOUND LEATHER PEELING AT BOTTOM OFSTEERING WHEEL DUE TO FAILED ADHESIVE, REPLACEDD STEERING WHEEL",STEERING WHEEL,FIXED COMPONENT 1
32,CORRECTION_VERBATIM,REPLACED STEERING WHEEL ASSEMBLY CHECK OPERATION OK PRA # 496439500000,REPLACED,FIXED CONDITION 1
32,CORRECTION_VERBATIM,REPLACED STEERING WHEEL ASSEMBLY CHECK OPERATION OK PRA # 496439500000,STEERING WHEEL,FIXED COMPONENT 1
32,CUSTOMER_VERBATIM,"CUSTOMER STATES STEERING WHEEL DOES NOT HEAT, BUTTON PUSHED AND TURNS OFF IMMEDIATELY, PARTS ORDERED.",STEERING WHEEL,FAILURE COMPONENT 1
32,CUSTOMER_VERBATIM,"CUSTOMER STATES STEERING WHEEL DOES NOT HEAT, BUTTON PUSHED AND TURNS OFF IMMEDIATELY, PARTS ORDERED.",TURNS OFF,FAILURE CONDITION 2
35,CORRECTION_VERBATIM,INSPECTED AND CONFIRMED STEERING WHEEL LEATHER COMING APART. SUBMITTED PRA AND WAS APPROVED. NECESSARY TO REMOVED ANDREPLACEDSTEERINGWHEEL PRA# 495602900000,COMING APART,FAILURE  CONDITION 1
35,CUSTOMER_VERBATIM,C/S: CUST STATES LEATER AT THE BOTTOM OF THE STEERING WHEELE IS COMING APART PLEASE SEE HISTORY FOR APPROVED PRA ONPREVIOUSROPRA#495602900000,STEERING WHEELE,FAILURE COMPONENT 1
35,CUSTOMER_VERBATIM,C/S: CUST STATES LEATER AT THE BOTTOM OF THE STEERING WHEELE IS COMING APART PLEASE SEE HISTORY FOR APPROVED PRA ONPREVIOUSROPRA#495602900000,COMING APART,FAILURE  CONDITION 1
38,CORRECTION_VERBATIM,WHEEL COMING APART AT STITCHING. REPLACED STEERING WHEEL 0130 0.4 PR A ATTACH #483410100000,COMING APART,FAILURE  CONDITION 1
38,CORRECTION_VERBATIM,WHEEL COMING APART AT STITCHING. REPLACED STEERING WHEEL 0130 0.4 PR A ATTACH #483410100000,REPLACED,FIXED CONDITION 1
38,CORRECTION_VERBATIM,WHEEL COMING APART AT STITCHING. REPLACED STEERING WHEEL 0130 0.4 PR A ATTACH #483410100000,STEERING WHEEL,FIXED COMPONENT 1
38,CUSTOMER_VERBATIM,CUSTOMER STATES THAT THE STEERING WHEEL COVER IS COMING APART.,WHEEL COVER,FAILURE COMPONENT 1
38,CUSTOMER_VERBATIM,CUSTOMER STATES THAT THE STEERING WHEEL COVER IS COMING APART.,COMING APART,FAILURE  CONDITION 1
39,CORRECTION_VERBATIM,"ACCESSED, REMOVED AND REPLACEDD THE STEERING WHEEL WITH ALL OTHER RELATED NEW SEALS GASKETS AND/OR NON-REUSABLE HARDWARE ANDREINSTALLED ALL COMPONENTS REMOVED FOR REPAIRED IN THE REVERSE ORDER OF REMOVAL. THE SYSTEM IS NOW OPERATING AS DESIGNED.,0130",REMOVED,FIXED CONDITION 1
39,CORRECTION_VERBATIM,"ACCESSED, REMOVED AND REPLACEDD THE STEERING WHEEL WITH ALL OTHER RELATED NEW SEALS GASKETS AND/OR NON-REUSABLE HARDWARE ANDREINSTALLED ALL COMPONENTS REMOVED FOR REPAIRED IN THE REVERSE ORDER OF REMOVAL. THE SYSTEM IS NOW OPERATING AS DESIGNED.,0130",REPLACED,FIXED CONDITION 2
39,CORRECTION_VERBATIM,"ACCESSED, REMOVED AND REPLACEDD THE STEERING WHEEL WITH ALL OTHER RELATED NEW SEALS GASKETS AND/OR NON-REUSABLE HARDWARE ANDREINSTALLED ALL COMPONENTS REMOVED FOR REPAIRED IN THE REVERSE ORDER OF REMOVAL. THE SYSTEM IS NOW OPERATING AS DESIGNED.,0130",STEERING WHEEL,FIXED COMPONENT 1
39,CORRECTION_VERBATIM,"ACCESSED, REMOVED AND REPLACEDD THE STEERING WHEEL WITH ALL OTHER RELATED NEW SEALS GASKETS AND/OR NON-REUSABLE HARDWARE ANDREINSTALLED ALL COMPONENTS REMOVED FOR REPAIRED IN THE REVERSE ORDER OF REMOVAL. THE SYSTEM IS NOW OPERATING AS DESIGNED.,0130",RELATED,FAILURE  CONDITION 1
39,CUSTOMER_VERBATIM,STEERING WHEEL DAMAGED IN TRANSIT - TEAR/RIP ON RIGHT HAND SIDE ABOVE HAND CONTROLS FOR DIC - REFERENCE PDI RO WHERE DAMAGE WASCAUGHT RO IS 567382,STEERING WHEEL,FIXED COMPONENT 1
41,CORRECTION_VERBATIM,TESTED AND VERIFIED HEATED STEERING WHEEL INOP. LIGHT TURNS ON BUT WHE EL WILL NOT GET WARM. CHECKED FOR CODES- NO CODES. CHECKEDFOR BULLETI NS - NONE RELATED. TESTED AS PER SI DIAGNOSIS - INTERNAL HEATING ELEME NT HAS FAILED. WILL NEED TO REPLACED STEERINGWHEEL. SUBMITTED PRA AND GOT APPROVAL FOR WHEEL REPLACEDMENT. REPLACEDD STEERING WHEEL AND TESTED - ALL OK. PRA AUTH CODE-496425100000 LOC 0130 (BASE+DIAG),HEATED,FAILURE  CONDITION 1
41,CORRECTION_VERBATIM,TESTED AND VERIFIED HEATED STEERING WHEEL INOP. LIGHT TURNS ON BUT WHE EL WILL NOT GET WARM. CHECKED FOR CODES- NO CODES. CHECKEDFOR BULLETI NS - NONE RELATED. TESTED AS PER SI DIAGNOSIS - INTERNAL HEATING ELEME NT HAS FAILED. WILL NEED TO REPLACED STEERINGWHEEL. SUBMITTED PRA AND GOT APPROVAL FOR WHEEL REPLACEDMENT. REPLACEDD STEERING WHEEL AND TESTED - ALL OK. PRA AUTH CODE-496425100000 LOC 0130 (BASE+DIAG),STEERING WHEEL,FAILURE  CONDITION 1
41,CORRECTION_VERBATIM,TESTED AND VERIFIED HEATED STEERING WHEEL INOP. LIGHT TURNS ON BUT WHE EL WILL NOT GET WARM. CHECKED FOR CODES- NO CODES. CHECKEDFOR BULLETI NS - NONE RELATED. TESTED AS PER SI DIAGNOSIS - INTERNAL HEATING ELEME NT HAS FAILED. WILL NEED TO REPLACED STEERINGWHEEL. SUBMITTED PRA AND GOT APPROVAL FOR WHEEL REPLACEDMENT. REPLACEDD STEERING WHEEL AND TESTED - ALL OK. PRA AUTH CODE-496425100000 LOC 0130 (BASE+DIAG),REPLACEDMENT,FIXED CONDITION 1
41,CORRECTION_VERBATIM,TESTED AND VERIFIED HEATED STEERING WHEEL INOP. LIGHT TURNS ON BUT WHE EL WILL NOT GET WARM. CHECKED FOR CODES- NO CODES. CHECKEDFOR BULLETI NS - NONE RELATED. TESTED AS PER SI DIAGNOSIS - INTERNAL HEATING ELEME NT HAS FAILED. WILL NEED TO REPLACED STEERINGWHEEL. SUBMITTED PRA AND GOT APPROVAL FOR WHEEL REPLACEDMENT. REPLACEDD STEERING WHEEL AND TESTED - ALL OK. PRA AUTH CODE-496425100000 LOC 0130 (BASE+DIAG),REPLACED,FIXED CONDITION 1
41,CORRECTION_VERBATIM,TESTED AND VERIFIED HEATED STEERING WHEEL INOP. LIGHT TURNS ON BUT WHE EL WILL NOT GET WARM. CHECKED FOR CODES- NO CODES. CHECKEDFOR BULLETI NS - NONE RELATED. TESTED AS PER SI DIAGNOSIS - INTERNAL HEATING ELEME NT HAS FAILED. WILL NEED TO REPLACED STEERINGWHEEL. SUBMITTED PRA AND GOT APPROVAL FOR WHEEL REPLACEDMENT. REPLACEDD STEERING WHEEL AND TESTED - ALL OK. PRA AUTH CODE-496425100000 LOC 0130 (BASE+DIAG),STEERING WHEEL,FIXED COMPONENT 1
41,CUSTOMER_VERBATIM,INSPECT AND ADVISE........HEATED STEERING WHEEL IS NON-OPP.,STEERING WHEEL,FAILURE COMPONENT 1
42,CORRECTION_VERBATIM,"REMOVED AIR BAG, REPLACEDD STEERING WHEEL, REINSTALLED AIRBAG. NO FURTHER ACTION REQUIRED",REMOVED,FIXED CONDITION 1
42,CORRECTION_VERBATIM,"REMOVED AIR BAG, REPLACEDD STEERING WHEEL, REINSTALLED AIRBAG. NO FURTHER ACTION REQUIRED","BAG, REPLACED STEERING",FIXED COMPONENT 1
42,CUSTOMER_VERBATIM,"CUSTOMER STATES THE STEERING WHEEL IS PEELING, REFERENCE PREVIOUS REPAIRED ORDER 6140479, MANAGER SUBMITTED FOR PREAUTHORIZATION AND RECEIVED APPROVAL CODE 493245700000",PEELING,FAILURE  CONDITION 1
43,CORRECTION_VERBATIM,NECESSARY TO REPLACED STEERING WHEEL SPOKE COVER AND RETEST. OK,REPLACED,FIXED CONDITION 1
43,CORRECTION_VERBATIM,NECESSARY TO REPLACED STEERING WHEEL SPOKE COVER AND RETEST. OK,STEERING WHEEL,FIXED COMPONENT 1
43,CUSTOMER_VERBATIM,STEERING WHEEL TRIM AS PER LAST REPAIRED ORDER,STEERING WHEEL,FIXED COMPONENT 1
43,CUSTOMER_VERBATIM,STEERING WHEEL TRIM AS PER LAST REPAIRED ORDER,REPAIRED,FIXED CONDITION 2
44,CORRECTION_VERBATIM,"DIAGNOSIS OF OPEN CIRCUIT INSIDE WHEEL. REPLACED STEERING WHEEL ( 0130 .3+ .4= .7 HRS ),STEERING WHEEL REPLACEDMENT GM PREAUTH# 498654000000",REPLACED,FIXED CONDITION 1
44,CORRECTION_VERBATIM,"DIAGNOSIS OF OPEN CIRCUIT INSIDE WHEEL. REPLACED STEERING WHEEL ( 0130 .3+ .4= .7 HRS ),STEERING WHEEL REPLACEDMENT GM PREAUTH# 498654000000",STEERING WHEEL,FIXED COMPONENT 1
44,CUSTOMER_VERBATIM,"CHECK AND REPORT STEERING WHEEL ONLY STAYS LUKE WARM, AND DOESNT WORK AFTER 5 MIN OR SO-IT WON'T TURN ON",STEERING WHEEL,FAILURE COMPONENT 1
45,CORRECTION_VERBATIM,REMOVED AND REPLACED STEERING WHEEL DUE TO LEATHER DEFECT.,REMOVED,FIXED CONDITION 1
45,CORRECTION_VERBATIM,REMOVED AND REPLACED STEERING WHEEL DUE TO LEATHER DEFECT.,REPLACED,FIXED CONDITION 1
45,CORRECTION_VERBATIM,REMOVED AND REPLACED STEERING WHEEL DUE TO LEATHER DEFECT.,STEERING WHEEL,FIXED COMPONENT 1
45,CORRECTION_VERBATIM,REMOVED AND REPLACED STEERING WHEEL DUE TO LEATHER DEFECT.,LEATHER,FAILURE COMPONENT 1
45,CUSTOMER_VERBATIM,STEERING WHEEL LEATHER IS LOOSE ON BOTTOM,STEERING WHEEL,FIXED COMPONENT 1
45,CUSTOMER_VERBATIM,STEERING WHEEL LEATHER IS LOOSE ON BOTTOM,LEATHER,FAILURE COMPONENT 1
45,CUSTOMER_VERBATIM,STEERING WHEEL LEATHER IS LOOSE ON BOTTOM,LOOSE,FAILURE  CONDITION 1
46,CORRECTION_VERBATIM,REMOVED AND REPLACEDD STEERING WHEEL ASSEMBLY.,REMOVED,FIXED CONDITION 1
46,CORRECTION_VERBATIM,REMOVED AND REPLACEDD STEERING WHEEL ASSEMBLY.,REPLACED,FIXED CONDITION 1
46,CORRECTION_VERBATIM,REMOVED AND REPLACEDD STEERING WHEEL ASSEMBLY.,STEERING WHEEL,FIXED COMPONENT 1
46,CUSTOMER_VERBATIM,C/S: CLIENT STATES STEERING WHEEL PULLING APART INSTALL SOPSTEERING WHEEL PRE AUTH IN HISTORY,STEERING WHEEL,FAILURE COMPONENT 1
46,CUSTOMER_VERBATIM,C/S: CLIENT STATES STEERING WHEEL PULLING APART INSTALL SOPSTEERING WHEEL PRE AUTH IN HISTORY,PULLING APART,FAILURE  CONDITION 1
48,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL,REPLACED,FIXED CONDITION 1
48,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL,STEERING WHEEL,FIXED COMPONENT 1
50,CORRECTION_VERBATIM,REPLACED STEERING WHEEL SOP ORDERED ON RO 412613,REPLACED,FIXED CONDITION 1
50,CORRECTION_VERBATIM,REPLACED STEERING WHEEL SOP ORDERED ON RO 412613,STEERING WHEEL,FIXED COMPONENT 1
50,CUSTOMER_VERBATIM,CS THE STEERING WHEEL IS PEALING AND SEPARATING-INSTALL SOP REFER TO RO 412613,STEERING WHEEL,FAILURE COMPONENT 1
52,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL ASSEMBLY. CUSTOMER TO PAY WARRANTY DEDUCTIBLE,REPLACED,FIXED CONDITION 1
52,CORRECTION_VERBATIM,REPLACEDD STEERING WHEEL ASSEMBLY. CUSTOMER TO PAY WARRANTY DEDUCTIBLE,STEERING WHEEL,FIXED COMPONENT 1
52,CUSTOMER_VERBATIM,"C/S THE STEERING WHEEL IS PEELING IN SOME AREAS. CUSTOMER REQUEST ASSI STANCE TO REPLACED STEERING WHEEL. APPROVED, SOP HERE",STEERING WHEEL,FAILURE COMPONENT 1
